cid,crystal,inspiration_hits,rmsd_via_combine,n_inspirations,rmsd_via_place,n_inspiration_str,category,SMILES,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,ddG,num_heavy_atoms,LE
ALV-UNI-7ff1a6f9-47,x2581,x0434,3.912235310535398,1,6.898018868668018,one,non-covalent,COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,0.7274612962213176,6.924825588958901,7.869752029130271,0.0,22,0.0
GAB-REV-70cc3ca5-4,x10019,x0107,0.3643317668878689,1,0.3643317668878689,one,non-covalent,Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,0.6653533579302737,0.3643317668878689,4.1831548827084175,-2.0987330041871246,22,-0.09539695473577839
GAB-REV-70cc3ca5-8,x3080,x0107,0.2801835437384183,1,0.2801835437384183,one,non-covalent,Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,0.4657321703999571,0.2801835437384183,4.150132087795983,-0.3839880308237298,26,-0.0147687704162973
GAB-REV-70cc3ca5-13,x3108,x0107,0.6773398502430465,1,0.6773398502430465,one,non-covalent,Cc1ccncc1NC(=O)CNC(=O)Cc1cccnc1,0.3409376109282378,0.6773398502430465,2.495947963819606,-2.3836433318958825,21,-0.11350682532837536
GAB-REV-70cc3ca5-18,x3366,x0107,0.3942539559956019,1,0.3942539559956019,one,non-covalent,Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,0.49203372020439995,0.3942539559956019,5.0912216461277735,-2.8640128948591155,20,-0.14320064474295577
ALE-HEI-f28a35b5-9,x0678,x0434,0.5238283221735068,1,0.881702756035162,one,non-covalent,O=C(CC1CCCCC1)Nc1cccnc1,0.493186450543808,0.881702756035162,0.9301208254845175,-1.8488155143588756,16,-0.11555096964742972
BAR-COM-4e090d3a-39,x2562,x0434,1.7156882001109643,1,1.43807466774156,one,non-covalent,O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,0.5249133857123477,1.7534409029106168,4.255962576732255,-1.912378926828751,22,-0.08692631485585232
BAR-COM-4e090d3a-47,x3305,x0434,2.0179777418660163,1,1.192727094970565,one,non-covalent,Cn1cc(CNC(=O)N(CCc2ccccc2)Cc2cccnc2)nn1,0.7117299932792868,1.7153658793388655,3.211860418223968,-2.1340562650723314,26,-0.0820790871181666
BAR-COM-4e090d3a-49,x2764,x0434,7.128050364580767,1,6.683054514431044,one,Nitrile,N#CCOc1ccccc1C(=O)NCc1cnsc1,0.5411675649309866,6.603991947516074,6.537759204884548,-1.5213805271271212,19,-0.08007265932248006
BAR-COM-4e090d3a-57,x3298,x0434,4.38568760604056,1,3.298305587722278,one,non-covalent,O=C(Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)C(O)c1cccnc1,0.5064221312304588,3.3059363461809124,4.753367336500966,-0.8133063195621162,28,-0.029046654270075578
BEN-DND-031a96cc-8,x10022,x0434,0.9932808710978424,1,1.3690459040879526,one,non-covalent,C=C(C(=O)Nc1ccccc1)c1cccnc1,0.6091862912935581,1.3690459040879526,1.379855299319035,-1.3881239590525638,17,-0.08165435053250375
FRA-FAC-9ed5a63a-1,x0678,x0395,6.798587291979611,1,6.692747994231197,one,non-covalent,O=C(CC1CCCCC1)Nc1cccnc1,1.65183300781716,6.692747994231197,7.441909814523419,0.0,16,0.0
MAK-UNK-0d6072ac-4,x2659,x0749,25.318957803393094,1,25.0944642412536,one,non-covalent,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,1.2102077232166935,25.922455437768175,25.150492863225523,-1.1901118967734874,19,-0.06263746825123617
WAR-XCH-72a8c209-5,x10728,x1493,1.861304482077019,1,4.988634540967431,one,Chloroacetamide,O=C(CCl)N1CCCC(N(CC2CCCCC2)C2CCC(O)CC2)C1,,,,-1.3413992430325834,25,-0.053655969721303334
JAN-GHE-83b26c96-1,x10329,x0678,0.8066513910399379,1,1.4441029005926138,one,non-covalent,CCC(C(=O)Nc1cnncc1C)c1cccc(Cl)c1,0.7271470793450251,1.4441029005926138,1.732795039812845,-0.7760673321056402,20,-0.03880336660528201
JAN-GHE-83b26c96-2,x11372,x0678,0.7785992631000883,1,1.4228295092877434,one,non-covalent,CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,0.7856422929679896,1.4228295092877434,1.739531010463348,-1.5526085323037933,22,-0.07057311510471788
JAN-GHE-83b26c96-3,x10377,x0678,1.3903009791048846,1,0.7339380508598804,one,non-covalent,CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,0.5400795080356221,0.7339380508598804,1.320708966393824,-3.0377017504958985,23,-0.13207398915199559
JAN-GHE-83b26c96-8,x10423,x0678,1.418221465427738,1,1.418221465427738,one,non-covalent,CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,0.5155314005955406,0.8566356430828685,1.299995274716687,-2.2554189575082546,21,-0.10740090273848832
JAN-GHE-83b26c96-9,x10327,x0678,1.4552570649201468,1,1.4552570649201468,one,non-covalent,Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,0.9431304257630545,1.4552570649201468,1.6411681670020757,-1.420990150505304,21,-0.06766619764310972
JAN-GHE-83b26c96-10,x10395,x0678,1.383124519882429,1,1.383124519882429,one,non-covalent,Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,0.9612494148242692,1.383124519882429,1.655454418983903,-1.4181049083158541,21,-0.06752880515789782
JAN-GHE-83b26c96-11,x10248,x0678,1.0200878638627169,1,1.576498850300881,one,non-covalent,Cc1ccc(CC(=O)Nc2cnccc2C)cc1,0.6984936918111715,1.576498850300881,1.6378675329694874,-3.153729560560805,18,-0.17520719780893362
